N,h,degree,quad,solver,it,res,e1_L2,e2_L2,e1_H1s,e2_H1s
4,0.25,1,1,GMRES,10,3.107971910558096e-07,1965.7375371673236,196572.59548715065,30018.893180076804,3001857.1382557116
8,0.125,1,1,GMRES,40,0.00037954469934755534,587.6484028176357,58764.67146900575,17608.61254215104,1760849.4583443392
16,0.0625,1,1,GMRES,292,0.0011675115838859125,154.91207841607908,15491.168220580028,9247.823723592483,924777.0577747007
32,0.03125,1,1,GMRES,996,0.0018718484348720114,39.26511113287893,3926.4948462477755,4684.615342088336,468458.95287889923
64,0.015625,1,1,GMRES,3307,0.0027198958159920716,9.850527835354463,985.0234686633474,2350.0763116160642,235006.3577052784
128,0.0078125,1,1,GMRES,11765,0.0038706599189517704,2.465464473984468,246.45659776423147,1176.014928964066,117600.86816186292
4,0.25,1,1,GMRES + ILU PC,5,1.9362549911216015e-05,1965.737537451048,196572.5954871002,30018.893178199996,3001857.138256045
8,0.125,1,1,GMRES + ILU PC,7,0.0024938653654558315,587.6484301388294,58764.671464312356,17608.612450071043,1760849.4583601586
16,0.0625,1,1,GMRES + ILU PC,11,0.03678470128381338,154.9122640054387,15491.168832978696,9247.823409645966,924777.056738582
32,0.03125,1,1,GMRES + ILU PC,20,0.05809936206880237,39.2656264857491,3926.495848422967,4684.614906217647,468458.9520301943
64,0.015625,1,1,GMRES + ILU PC,42,0.13069543771045655,9.853620913832419,985.0264304922364,2350.0750922107936,235006.3564462462
128,0.0078125,1,1,GMRES + ILU PC,74,0.185022012252616,2.4675360369752033,246.47184882058397,1176.0152108765876,117600.86484700858
4,0.25,1,1,Monolithic LU with MUMPS,1,0.0,1965.7375371673206,196572.59548715068,30018.89318007683,3001857.138255711
8,0.125,1,1,Monolithic LU with MUMPS,1,0.0,587.6484027765507,58764.67146866209,17608.612542288003,1760849.4583454973
16,0.0625,1,1,Monolithic LU with MUMPS,1,0.0,154.91204152557083,15491.16888191997,9247.8237859725,924777.0566557785
32,0.03125,1,1,Monolithic LU with MUMPS,1,0.0,39.26504479806376,3926.496082212134,4684.61539811461,468458.9518322761
64,0.015625,1,1,Monolithic LU with MUMPS,1,0.0,9.850302381685497,985.0281647808011,2350.0764054964584,235006.35571149984
128,0.0078125,1,1,Monolithic LU with MUMPS,1,0.0,2.4647079449210434,246.47027776613382,1176.015064459993,117600.86517167876
4,0.25,1,1,Scale-Splitting GMRES,4,4.7759645125699566e-05,1965.7375369281685,196572.59548730828,30018.89318165853,3001857.138254669
8,0.125,1,1,Scale-Splitting GMRES,4,0.004663785182155938,587.6483194352107,58764.671475645504,17608.612823204665,1760849.4583219588
16,0.0625,1,1,Scale-Splitting GMRES,4,0.018418075834936556,154.91176518244404,15491.168900335724,9247.824253527539,924777.0566246215
32,0.03125,1,1,Scale-Splitting GMRES,4,0.043435340369002075,39.264648105979255,3926.496105085031,4684.615733993171,468458.95181291294
64,0.015625,1,1,Scale-Splitting GMRES,4,0.09061734445944217,9.849857578337867,985.0281885581999,2350.0765939339017,235006.3557014339
128,0.0078125,1,1,Scale-Splitting GMRES,4,0.18318999896293917,2.464247985841456,246.4703015070306,1176.0151621038017,117600.8651666537
4,0.25,1,1,Scale-Splitting GMRES + ILU PC,4,4.775967764755311e-05,1965.7375369277586,196572.59548729676,30018.893181661235,3001857.1382547454
8,0.125,1,1,Scale-Splitting GMRES + ILU PC,4,0.0046637845573035425,587.6483180031837,58764.671475869516,17608.612828031488,1760849.4583212032
16,0.0625,1,1,Scale-Splitting GMRES + ILU PC,4,0.018418103245734504,154.91176554219322,15491.168901010878,9247.82425291903,924777.0566234791
32,0.03125,1,1,Scale-Splitting GMRES + ILU PC,4,0.04343532734349036,39.26464816636416,3926.4961047946686,4684.615733942046,468458.95181315864
64,0.015625,1,1,Scale-Splitting GMRES + ILU PC,4,0.0906173955933982,9.84985792302085,985.0281887838333,2350.076593788552,235006.35570133873
128,0.0078125,1,1,Scale-Splitting GMRES + ILU PC,4,0.18319361260373604,2.4643114281393035,246.47006871623066,1176.015148699403,117600.86521593138
