solver,err,slope
GMRES,e1_L2,1.939169501518827
GMRES + ILU PC,e1_L2,1.9389570939244034
Monolithic LU with MUMPS,e1_L2,1.9392356429989723
Scale-Splitting GMRES,e1_L2,1.9392800179301408
Scale-Splitting GMRES + ILU PC,e1_L2,1.9392747073562953
GMRES,e2_L2,1.9392468004442194
GMRES + ILU PC,e2_L2,1.9392336664175518
Monolithic LU with MUMPS,e2_L2,1.9392347600983653
Scale-Splitting GMRES,e2_L2,1.939234737084898
Scale-Splitting GMRES + ILU PC,e2_L2,1.9392349317224138
GMRES,e1_H1s,0.9447757432634636
GMRES + ILU PC,e1_H1s,0.9447757597983816
Monolithic LU with MUMPS,e1_H1s,0.9447757143635984
Scale-Splitting GMRES,e1_H1s,0.9447756884481063
Scale-Splitting GMRES + ILU PC,e1_H1s,0.9447756908365561
GMRES,e2_H1s,0.9447744607107358
GMRES + ILU PC,e2_H1s,0.9447744672122536
Monolithic LU with MUMPS,e2_H1s,0.9447744670425489
Scale-Splitting GMRES,e2_H1s,0.9447744670552456
Scale-Splitting GMRES + ILU PC,e2_H1s,0.9447744669688135
