approach,nx,ny,dofs,num_cells,iterations,residual,metadata,time_total,time_total_repeats,time_SNESJacobianEval,time_PCApply,time_SNESSolve,time_SNESFunctionEval,time_PCSetUp,time_KSPSolve,time_MatAssemblyEnd,time_MatAssemblyBegin,time_MatMult,flops_SNESJacobianEval,mflops_SNESJacobianEval,flops_PCApply,mflops_PCApply,flops_SNESSolve,mflops_SNESSolve,flops_SNESFunctionEval,mflops_SNESFunctionEval,flops_PCSetUp,mflops_PCSetUp,flops_KSPSolve,mflops_KSPSolve,flops_MatAssemblyEnd,mflops_MatAssemblyEnd,flops_MatAssemblyBegin,mflops_MatAssemblyBegin,flops_MatMult,mflops_MatMult,flops_total,mem_rss_peak_kb,mem_rss_delta_kb
GMRES,4,4,50,16,10,3.107971910558096e-07,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.013246961000004377,0.06623480500002188,0.008805225999999888,6.727999999789347e-06,0.019161484999999923,0.010082064000000002,6.720000000903781e-07,0.00015657800000001831,1.9365999999299e-05,5.887999999121263e-06,1.7026999999836256e-05,186640.0,21.19650307669586,0.0,0.0,410260.0,21.41065789003314,89600.0,8.88706915568082,0.0,0.0,133520.0,852.737932531929,0.0,0.0,0.0,0.0,65100.0,3823.3394021628033,885120.0,283820.0,0.0
GMRES + ILU PC,4,4,50,16,5,1.9362549911216015e-05,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.011086051600022984,0.05543025800011492,0.008232491000000008,1.8530999999821773e-05,0.016309746000000125,0.0076250339999998085,0.00020134100000002153,0.0001597350000001052,1.674599999956783e-05,4.55600000037748e-06,9.375999999727824e-06,186640.0,22.671145343493215,39060.0,2107.819329792006,381850.0,23.412381774676142,89600.0,11.750767275267526,11105.0,55.15518448800201,94005.0,588.5059630008332,0.0,0.0,0.0,0.0,32550.0,3471.629692933542,834810.0,284316.0,496.0
Scale-Splitting GMRES,4,4,50,16,4,4.7759645125699566e-05,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.034299064800006815,0.1714953240000341,0.007660059000000219,0.002775670000000119,0.1316165229999997,0.007796256999999862,0.11062866600000021,0.0029073009999993626,3.3383999999303526e-05,5.448999999879689e-06,1.5421999999931657e-05,186640.0,24.365347577609345,30850.0,11.114433632239667,426155.0,3.2378533506769585,89600.0,11.492694507120737,74240.0,0.6710738064942396,73065.0,25.131556725642103,0.0,0.0,0.0,0.0,33865.0,2195.8889897646263,914415.0,290076.0,2304.0
Scale-Splitting GMRES + ILU PC,4,4,50,16,4,4.775967764755311e-05,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.032739586600018813,0.16369793300009405,0.007411606999999876,0.0005326220000008153,0.12425364000000028,0.007745403999999789,0.10787757500000006,0.0006625449999997368,3.221999999958314e-05,5.478000001390981e-06,3.1587999999027616e-05,186640.0,25.182123121207468,232275.0,436.09726973283955,627880.0,5.053212123202174,89600.0,11.56815060905828,74240.0,0.6881875125576373,274490.0,414.296387415359,0.0,0.0,0.0,0.0,96465.0,3053.849563219245,1581590.0,292764.0,2112.0
Monolithic LU with MUMPS,4,4,50,16,1,0.0,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.012274112799968862,0.06137056399984431,0.007854362000000226,0.00037590200000003904,0.018310685999999965,0.008197734000000123,0.001779992000000119,0.0003909619999995506,2.231100000038566e-05,5.342999999102815e-06,0.0,186640.0,23.762592047577467,10420.0,27.719990848675764,292340.0,15.965540559212286,89600.0,10.929849638936645,5180.0,2.9101254387658226,10420.0,26.65220660834551,0.0,0.0,0.0,0.0,0.0,0.0,594600.0,292764.0,0.0
GMRES,8,8,162,64,40,0.00037954469934755534,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.01178562619998047,0.05892813099990235,0.00799043200000038,2.393000000067147e-05,0.01678072900000016,0.008051589999999997,1.1410000002598508e-06,0.0006325710000001372,2.8991000001310496e-05,5.021999999854643e-06,0.0001789649999994758,752080.0,94.12257059442645,0.0,0.0,3957600.0,235.84195895184067,358400.0,44.51294713218136,0.0,0.0,2845500.0,4498.30928069637,0.0,0.0,0.0,0.0,991790.0,5541.809851104434,8905370.0,292764.0,0.0
GMRES + ILU PC,8,8,162,64,7,0.0024938653654558315,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.012001248999968083,0.06000624499984042,0.008823483000000243,5.486299999946098e-05,0.017336258999999687,0.007871930000000082,0.00031386000000011016,0.0002379379999999376,2.4764000000176978e-05,4.887000001785324e-06,3.503700000107024e-05,752080.0,85.2361816756466,193520.0,3527.331717221102,1677275.0,96.74953517941964,358400.0,45.528860139761946,79385.0,252.93124322937658,485790.0,2041.6663164359095,0.0,0.0,0.0,0.0,169330.0,4832.890943711724,3715780.0,292764.0,0.0
Scale-Splitting GMRES,8,8,162,64,4,0.004663785182155938,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.03404585560001579,0.17022927800007892,0.007582731999999703,0.003202354999999768,0.12940622999999962,0.007787065000000037,0.10777750799999986,0.003338424000000284,4.8933999998945765e-05,5.375999998724623e-06,3.590999999891764e-05,752080.0,99.18324952009769,167650.0,52.352097128523276,1744245.0,13.478833283374417,358400.0,46.02504281137993,296960.0,2.7553058658583978,316985.0,94.95049160920634,0.0,0.0,0.0,0.0,125985.0,3508.3542189862796,3762305.0,292956.0,192.0
Scale-Splitting GMRES + ILU PC,8,8,162,64,4,0.0046637845573035425,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.033187997999993966,0.16593998999996984,0.007763837000000162,0.0008333320000000199,0.12531394400000018,0.007668924000000299,0.10820585699999974,0.0009620259999998382,5.081399999751213e-05,5.745000000167977e-06,0.00010894399999727966,752080.0,96.86962773690178,1386245.0,1663.496661594619,2960490.0,23.624585624725018,358400.0,46.73406595240558,296960.0,2.7443985772415327,1535580.0,1596.1938658625218,0.0,0.0,0.0,0.0,500065.0,4590.110515608814,7789820.0,294300.0,1152.0
Monolithic LU with MUMPS,8,8,162,64,1,0.0,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.012516348600001947,0.06258174300000974,0.008076189000000067,0.0005207209999995577,0.01914943499999966,0.008156617000000477,0.0022992550000004996,0.000533314000000118,2.925199999959105e-05,5.085000000182305e-06,0.0,752080.0,93.12313022887326,56020.0,107.5816032002696,1208740.0,63.12144457525883,358400.0,43.93978533011653,40620.0,17.666592004797717,56020.0,105.04130774738262,0.0,0.0,0.0,0.0,0.0,0.0,2471880.0,294492.0,0.0
