approach,nx,ny,dofs,num_cells,iterations,residual,time_total,time_total_repeats,time_SNESFunctionEval,time_MatAssemblyEnd,time_PCSetUp,time_SNESJacobianEval,time_PCApply,time_KSPSolve,time_SNESSolve,time_MatMult,time_MatAssemblyBegin,flops_SNESFunctionEval,mflops_SNESFunctionEval,flops_MatAssemblyEnd,mflops_MatAssemblyEnd,flops_PCSetUp,mflops_PCSetUp,flops_SNESJacobianEval,mflops_SNESJacobianEval,flops_PCApply,mflops_PCApply,flops_KSPSolve,mflops_KSPSolve,flops_SNESSolve,mflops_SNESSolve,flops_MatMult,mflops_MatMult,flops_MatAssemblyBegin,mflops_MatAssemblyBegin,flops_total,mem_rss_peak_kb,mem_rss_delta_kb,backend,repeats
GMRES,4,4,250,384,27,1.3202003343579055e-05,0.013248390333198282,0.03974517099959485,0.005104261000000054,2.3874999999895508e-05,4.18000000057539e-07,0.0059545370000000375,1.10079999993129e-05,0.0005101590000000655,0.011678449000000035,0.0001506619999999126,3.3870000001323675e-06,562176.0,110.13856854106676,0.0,0.0,0.0,0.0,1462464.0,245.60498994296128,0.0,0.0,2081316.0,4079.739845812252,4107456.0,351.7124577073538,843534.0,5598.850406874258,0.0,0.0,9056946.0,284456.0,576.0,events,3
GMRES + ILU PC,4,4,250,384,6,2.1008450148757248e-05,0.012029830666506314,0.03608949199951894,0.004764037999999915,1.9966000000537498e-05,0.00021979300000007918,0.00508559200000025,5.7301000000120617e-05,0.00018955500000028547,0.010329482000000056,3.585899999991593e-05,3.061999999665055e-06,562176.0,118.0040965248409,0.0,0.0,50379.0,229.21112137320958,1462464.0,287.5700606733549,218694.0,3816.582607625341,495312.0,2613.0252433291344,2571831.0,248.97966809952194,187452.0,5227.474274253032,0.0,0.0,5548308.0,285224.0,0.0,events,3
Scale-Splitting GMRES,4,4,250,384,4,1.0148247752443832e-05,0.036578904000028466,0.10973671200008539,0.004763516000000356,4.1457999998772976e-05,0.06859735500000008,0.005169699000000083,0.0020136869999998197,0.002152994000000019,0.08310033400000005,4.706699999945663e-05,3.4449999997132608e-06,562176.0,118.0170277584788,0.0,0.0,1585152.0,23.10806298581043,1462464.0,282.8915184423651,312870.0,155.37171367746228,486543.0,225.9843733888695,4131279.0,49.71434892187073,163083.0,3464.9117216283757,0.0,0.0,8703567.0,290024.0,1728.0,events,3
Scale-Splitting GMRES + ILU PC,4,4,250,384,4,1.0148238934162201e-05,0.03367432866646899,0.10102298599940696,0.004470042000000118,3.5239000000020226e-05,0.06624877800000006,0.004945463999999955,0.0004893839999997596,0.0006010339999995562,0.07663229599999988,0.00010331599999990893,3.2320000000751747e-06,562176.0,125.7652612659982,0.0,0.0,1585152.0,23.927263986665512,1462464.0,295.71825818568556,1222875.0,2498.804619686383,1396548.0,2323.575704537566,5018382.0,65.48651498057696,544233.0,5267.654574320335,0.0,0.0,11791830.0,292904.0,1920.0,events,3
Monolithic LU with MUMPS,4,4,250,384,1,0.0,0.012489918666688027,0.03746975600006408,0.0046349789999997615,1.9569999998303444e-05,0.0018336370000000546,0.00510059900000015,0.000276817999999901,0.00028310799999986536,0.01189271599999997,0.0,2.927000000374491e-06,562176.0,121.28986992174698,0.0,0.0,65232.0,35.575198362597426,1462464.0,286.7239710473136,112620.0,406.8377056406747,112620.0,397.79871992332806,2203992.0,185.3228480357225,0.0,0.0,0.0,0.0,4519104.0,294248.0,576.0,events,3
GMRES,8,8,1458,3072,190,0.0003681505535418089,0.01794661699993109,0.05383985099979327,0.004783556999999661,6.603300000018741e-05,2.270000001303174e-07,0.008483065999999706,0.00013149799999889744,0.0112003340000002,0.024553775,0.007518946999999221,2.9420000000612845e-06,4497408.0,940.1807065328832,0.0,0.0,0.0,0.0,11867904.0,1399.0111594086868,0.0,0.0,96062856.0,8576.78494230603,112436916.0,4579.210976723539,41934984.0,5577.241600453407,0.0,0.0,266800068.0,298472.0,960.0,events,3
GMRES + ILU PC,8,8,1458,3072,8,0.057920133270066614,0.014658928000244487,0.04397678400073346,0.00471111099999999,6.562800000042834e-05,0.0008018530000002411,0.008485384999999956,0.00042575699999991556,0.0009416790000000841,0.015001116999999953,0.0003090240000001021,2.8930000008919876e-06,4497408.0,954.6385130810991,0.0,0.0,900591.0,1123.1372832672937,11867904.0,1398.628818845587,1925586.0,4522.734799428739,4463769.0,4740.223579372166,21738420.0,1449.1200888573876,1711632.0,5538.83193538183,0.0,0.0,47105310.0,301928.0,960.0,events,3
Scale-Splitting GMRES,8,8,1458,3072,4,0.005215857019922225,0.06946188733339416,0.2083856620001825,0.004872163999999568,0.00014694000000003982,0.15110692400000003,0.008588915999999891,0.004058596999998887,0.004438123000000349,0.17763768299999994,0.00032956099999958965,3.440000000853871e-06,4497408.0,923.0822279382218,0.0,0.0,12681216.0,83.92213714839431,11867904.0,1381.7697134306761,5240670.0,1291.2516320298462,6380751.0,1437.7138713820004,36012585.0,202.7305490130718,1117791.0,3391.75751985639,0.0,0.0,77798325.0,307880.0,1152.0,events,3
Scale-Splitting GMRES + ILU PC,8,8,1458,3072,4,0.0052158484893015875,0.040314015000149084,0.12094204500044725,0.004827266000000385,0.00014679399999772968,0.07365797700000032,0.008742126000000017,0.0023459439999999887,0.0026328410000000524,0.09037024899999979,0.0009941550000003296,4.081000001487922e-06,4497408.0,931.6677390472456,0.0,0.0,12681216.0,172.16351190312957,11867904.0,1357.5535287411753,13487040.0,5749.088639797056,14627121.0,5555.641605398772,43861755.0,485.3561375049448,5309391.0,5340.606847019066,0.0,0.0,106331835.0,307880.0,0.0,events,3
Monolithic LU with MUMPS,8,8,1458,3072,1,0.0,0.020837218999986362,0.06251165699995909,0.005175804999999922,7.088499999952091e-05,0.013522475000000256,0.00902235600000001,0.0009679750000000098,0.000985071000000115,0.028774393999999592,0.0,3.5600000001245746e-06,4497408.0,868.929181064601,0.0,0.0,998700.0,73.85482317401075,11867904.0,1315.3885747802447,1959132.0,2023.9489656240917,1959132.0,1988.8231406667858,19331892.0,671.843584264547,0.0,0.0,0.0,0.0,40614168.0,311336.0,576.0,events,3
GMRES,12,12,4394,10368,465,0.0004924665728224116,0.055118660333391745,0.16535598100017523,0.006457332000000093,0.00021244900000105815,2.2200000060479397e-07,0.021517198999999376,0.0010375899999983673,0.08730473899999991,0.11551134199999946,0.06130801799999741,4.830000000399792e-06,15178752.0,2350.622826888842,0.0,0.0,0.0,0.0,40309056.0,1873.3412281032101,0.0,0.0,734543802.0,8413.561628080703,790057974.0,6839.657130812347,328363200.0,5355.958497957215,0.0,0.0,1908452784.0,318440.0,1920.0,events,3
